# mode	english	candidate	weight	comment
all	the	其	850	common-fallback
zh	the	的	900	common-fallback
hk	the	的	900	common-fallback
jp	the	其の	900	common-fallback
all	and	和	900	common-fallback
all	for	為	900	common-fallback
zh	for	为了	850	common-fallback
hk	for	為了	850	common-fallback
jp	for	為に	850	common-fallback
all	that	那	850	common-fallback
zh	that	那个	900	common-fallback
hk	that	那個	900	common-fallback
jp	that	其れ	880	common-fallback
all	this	此	850	common-fallback
zh	this	这个	900	common-fallback
hk	this	這個	900	common-fallback
jp	this	此れ	880	common-fallback
all	with	与	900	common-fallback
hk	with	與	900	common-fallback
jp	with	共に	860	common-fallback
all	from	自	900	common-fallback
all	one	一	900	common-fallback
all	see	見	900	common-fallback
jp	see	見る	900	common-fallback
zh	see	看见	900	common-fallback
hk	see	看見	900	common-fallback
all	also	亦	880	common-fallback
zh	also	也	900	common-fallback
hk	also	也	900	common-fallback
jp	also	又	880	common-fallback
all	into	入	880	common-fallback
zh	into	进入	900	common-fallback
hk	into	進入	900	common-fallback
jp	into	中へ	850	common-fallback
all	used	用	860	common-fallback
zh	used	已用	850	common-fallback
hk	used	已用	850	common-fallback
jp	used	使用済み	850	common-fallback
all	info	情報	900	common-fallback
all	information	情報	900	common-fallback
all	click	クリック	820	common-fallback
zh	click	点击	900	common-fallback
hk	click	點擊	900	common-fallback
jp	click	クリック	900	common-fallback
all	link	链接	850	common-fallback
all	links	链接	850	common-fallback
hk	link	連結	900	common-fallback
hk	links	連結	900	common-fallback
jp	link	連結	900	common-fallback
jp	links	連結	900	common-fallback
all	review	評論	900	common-fallback
all	reviews	評論	900	common-fallback
all	could	可能	850	common-fallback
all	website	網站	900	common-fallback
zh	website	网站	900	common-fallback
all	websites	網站	900	common-fallback
zh	websites	网站	900	common-fallback
all	site	站点	850	common-fallback
all	sites	站点	850	common-fallback
hk	site	站點	850	common-fallback
hk	sites	站點	850	common-fallback
all	user	用户	900	common-fallback
all	users	用户	900	common-fallback
hk	user	用戶	900	common-fallback
hk	users	用戶	900	common-fallback
jp	user	利用者	900	common-fallback
jp	users	利用者	900	common-fallback
all	blog	博客	900	common-fallback
jp	blog	ブログ	850	common-fallback
all	login	登录	900	common-fallback
hk	login	登入	900	common-fallback
jp	login	ログイン	850	common-fallback
all	program	程序	900	common-fallback
all	programs	程序	900	common-fallback
jp	program	番組	850	common-fallback
jp	programs	番組	850	common-fallback
all	something	某物	900	common-fallback
all	poker	扑克	900	common-fallback
hk	poker	撲克	900	common-fallback
all	browse	浏览	900	common-fallback
hk	browse	瀏覽	900	common-fallback
jp	browse	閲覧	900	common-fallback
all	file	文件	900	common-fallback
all	files	文件	900	common-fallback
jp	file	書類	860	common-fallback
jp	files	書類	860	common-fallback
all	fax	传真	900	common-fallback
hk	fax	傳真	900	common-fallback
jp	fax	ファクス	820	common-fallback
all	report	报告	900	common-fallback
all	reports	报告	900	common-fallback
hk	report	報告	900	common-fallback
hk	reports	報告	900	common-fallback
jp	report	報告	900	common-fallback
jp	reports	報告	900	common-fallback
all	include	包含	880	common-fallback
all	includes	包含	880	common-fallback
jp	include	含む	850	common-fallback
jp	includes	含む	850	common-fallback
all	faq	常見問題	900	common-fallback
zh	faq	常见问题	900	common-fallback
all	update	更新	900	common-fallback
all	updates	更新	900	common-fallback
all	updated	更新済	850	common-fallback
all	provide	提供	900	common-fallback
all	provides	提供	900	common-fallback
all	solution	解决	900	common-fallback
all	solutions	解决	900	common-fallback
hk	solution	解決	900	common-fallback
hk	solutions	解決	900	common-fallback
jp	solution	解決	900	common-fallback
jp	solutions	解決	900	common-fallback
all	database	資料庫	900	common-fallback
zh	database	数据库	900	common-fallback
all	url	網址	900	common-fallback
zh	url	网址	900	common-fallback
all	download	下载	900	common-fallback
all	downloads	下载	900	common-fallback
hk	download	下載	900	common-fallback
hk	downloads	下載	900	common-fallback
jp	download	ダウンロード	820	common-fallback
jp	downloads	ダウンロード	820	common-fallback
all	topic	話題	900	common-fallback
all	topics	話題	900	common-fallback
all	edit	編集	900	common-fallback
all	video	動画	900	common-fallback
all	videos	動画	900	common-fallback
zh	video	视频	900	common-fallback
zh	videos	视频	900	common-fallback
all	tech	科技	900	common-fallback
all	project	項目	900	common-fallback
all	projects	項目	900	common-fallback
zh	project	项目	900	common-fallback
zh	projects	项目	900	common-fallback
jp	project	企画	850	common-fallback
jp	projects	企画	850	common-fallback
all	deal	交易	900	common-fallback
all	deals	交易	900	common-fallback
all	policy	政策	900	common-fallback
all	policies	政策	900	common-fallback
all	list	列表	900	common-fallback
all	lists	列表	900	common-fallback
all	listing	列表	850	common-fallback
all	listings	列表	850	common-fallback
all	model	模型	900	common-fallback
all	models	模型	900	common-fallback
all	hardware	硬件	900	common-fallback
hk	hardware	硬件	900	common-fallback
jp	hardware	ハードウェア	820	common-fallback
all	html	网页	850	common-fallback
hk	html	網頁	850	common-fallback
jp	html	網頁	850	common-fallback
all	pic	图片	900	common-fallback
all	pics	图片	900	common-fallback
all	photo	照片	900	common-fallback
all	photos	照片	900	common-fallback
all	image	画像	900	common-fallback
all	images	画像	900	common-fallback
zh	image	图像	900	common-fallback
zh	images	图像	900	common-fallback
all	sponsored	赞助	900	common-fallback
hk	sponsored	贊助	900	common-fallback
all	someone	某人	900	common-fallback
all	casino	赌场	900	common-fallback
hk	casino	賭場	900	common-fallback
all	pdf	文档	850	common-fallback
hk	pdf	文件	850	common-fallback
jp	pdf	文書	850	common-fallback
all	usr	用户	820	common-fallback
hk	usr	用戶	820	common-fallback
all	jewelry	珠宝	900	common-fallback
hk	jewelry	珠寶	900	common-fallback
jp	jewelry	宝石	900	common-fallback
all	homepage	主页	900	common-fallback
hk	homepage	主頁	900	common-fallback
jp	homepage	ホームページ	820	common-fallback
all	zip	压缩	850	common-fallback
hk	zip	壓縮	850	common-fallback
jp	zip	圧縮	850	common-fallback
all	seller	卖家	900	common-fallback
all	sellers	卖家	900	common-fallback
hk	seller	賣家	900	common-fallback
hk	sellers	賣家	900	common-fallback
all	opportunity	机会	900	common-fallback
all	opportunities	机会	900	common-fallback
hk	opportunity	機會	900	common-fallback
hk	opportunities	機會	900	common-fallback
all	logo	標誌	900	common-fallback
zh	logo	标志	900	common-fallback
all	christmas	聖誕	900	common-fallback
zh	christmas	圣诞	900	common-fallback
all	phone	电话	900	common-fallback
all	phones	电话	900	common-fallback
hk	phone	電話	900	common-fallback
hk	phones	電話	900	common-fallback
jp	phone	電話	900	common-fallback
jp	phones	電話	900	common-fallback
all	release	发布	900	common-fallback
all	releases	发布	900	common-fallback
hk	release	發佈	900	common-fallback
hk	releases	發佈	900	common-fallback
jp	release	公開	850	common-fallback
jp	releases	公開	850	common-fallback
all	wanted	需要	850	common-fallback
jp	wanted	募集	850	common-fallback
all	featured	精选	900	common-fallback
hk	featured	精選	900	common-fallback
jp	featured	注目	900	common-fallback
all	browser	浏览器	900	common-fallback
hk	browser	瀏覽器	900	common-fallback
jp	browser	ブラウザ	820	common-fallback
all	camera	相机	900	common-fallback
all	cameras	相机	900	common-fallback
hk	camera	相機	900	common-fallback
hk	cameras	相機	900	common-fallback
jp	camera	カメラ	820	common-fallback
jp	cameras	カメラ	820	common-fallback
all	rental	租赁	900	common-fallback
all	rentals	租赁	900	common-fallback
hk	rental	租賃	900	common-fallback
hk	rentals	租賃	900	common-fallback
all	guide	指南	900	common-fallback
all	guides	指南	900	common-fallback
all	brand	品牌	900	common-fallback
all	brands	品牌	900	common-fallback
all	trademark	商標	900	common-fallback
all	trademarks	商標	900	common-fallback
all	award	奖	900	common-fallback
all	awards	奖	900	common-fallback
hk	award	獎	900	common-fallback
hk	awards	獎	900	common-fallback
all	procedure	程序	850	common-fallback
all	procedures	程序	850	common-fallback
all	reference	参考	900	common-fallback
all	references	参考	900	common-fallback
hk	reference	參考	900	common-fallback
hk	references	參考	900	common-fallback
jp	reference	参考	900	common-fallback
jp	references	参考	900	common-fallback
all	package	包	900	common-fallback
all	packages	包	900	common-fallback
all	announcement	公告	900	common-fallback
all	announcements	公告	900	common-fallback
all	ringtone	铃声	900	common-fallback
all	ringtones	铃声	900	common-fallback
hk	ringtone	鈴聲	900	common-fallback
