# mode	english	candidate	weight	comment
all	fire	火	1900	common-override
jp	fire	炎	1160	common-override
jp	fire	火事	1120	common-override
zh	fire	火	1900	common-override
zh	fire	火灾	1140	common-override
hk	fire	火	1900	common-override
hk	fire	火災	1140	common-override
all	water	水	1200	common-override
zh	water	河	1120	common-override
hk	water	河	1120	common-override
jp	water	水道	1080	common-override
all	friend	友	1160	common-override
jp	friend	友人	1300	common-override
jp	friend	友達	1280	common-override
jp	friend	親友	1220	common-override
zh	friend	朋友	1500	common-override
zh	friend	好友	1350	common-override
zh	friend	友人	1250	common-override
hk	friend	朋友	1500	common-override
hk	friend	好友	1350	common-override
hk	friend	友人	1250	common-override
jp	kind	親切	1500	common-override
jp	kind	優しい	1380	common-override
jp	kind	仁慈	1220	common-override
zh	kind	善良	1500	common-override
zh	kind	友善	1420	common-override
zh	kind	亲切	1360	common-override
zh	kind	仁慈	1300	common-override
hk	kind	善良	1500	common-override
hk	kind	友善	1420	common-override
hk	kind	親切	1360	common-override
hk	kind	仁慈	1300	common-override
jp	type	種類	1300	common-override
zh	type	类型	1300	common-override
hk	type	類型	1300	common-override
jp	good	良い	1700	common-override
jp	good	良好	1320	common-override
zh	good	好	2500	common-override
zh	good	良好	1320	common-override
zh	good	优秀	1240	common-override
hk	good	好	2500	common-override
hk	good	良好	1320	common-override
hk	good	優秀	1240	common-override
jp	bad	悪い	1450	common-override
jp	bad	悪	1200	common-override
zh	bad	坏	2500	common-override
zh	bad	不好	1320	common-override
zh	bad	糟糕	1240	common-override
hk	bad	壞	2500	common-override
hk	bad	不好	1320	common-override
hk	bad	糟糕	1240	common-override
all	person	人	1450	common-override
jp	person	人間	1220	common-override
zh	person	人	2500	common-override
zh	person	个人	1220	common-override
hk	person	人	2500	common-override
hk	person	個人	1220	common-override
jp	people	人々	1450	common-override
jp	people	人民	1220	common-override
zh	people	人们	1450	common-override
zh	people	人民	1320	common-override
hk	people	人們	1450	common-override
hk	people	人民	1320	common-override
jp	love	愛	1450	common-override
jp	love	恋	1260	common-override
zh	love	爱	2500	common-override
zh	love	爱情	1320	common-override
hk	love	愛	2500	common-override
hk	love	愛情	1320	common-override
all	heart	心	1450	common-override
zh	heart	心脏	1220	common-override
hk	heart	心臟	1220	common-override
jp	happy	幸せ	1450	common-override
jp	happy	幸福	1320	common-override
zh	happy	快乐	1450	common-override
zh	happy	幸福	1320	common-override
hk	happy	快樂	1450	common-override
hk	happy	幸福	1320	common-override
jp	sad	悲しい	1450	common-override
jp	sad	悲哀	1260	common-override
zh	sad	悲伤	1450	common-override
zh	sad	难过	1320	common-override
hk	sad	悲傷	1450	common-override
hk	sad	難過	1320	common-override
jp	eat	食べる	1750	common-override
jp	eat	食事	1280	common-override
zh	eat	吃	1900	common-override
zh	eat	吃饭	1280	common-override
hk	eat	吃	1900	common-override
hk	eat	吃飯	1280	common-override
jp	drink	飲む	1750	common-override
jp	drink	飲料	1280	common-override
zh	drink	喝	1900	common-override
zh	drink	饮料	1280	common-override
hk	drink	喝	1900	common-override
hk	drink	飲料	1280	common-override
jp	big	大	1450	common-override
zh	big	大	1450	common-override
hk	big	大	1450	common-override
jp	small	小	1450	common-override
zh	small	小	1450	common-override
hk	small	小	1450	common-override
jp	new	新	1450	common-override
zh	new	新	1450	common-override
hk	new	新	1450	common-override
jp	old	古い	1450	common-override
jp	old	旧	1300	common-override
zh	old	老	1450	common-override
zh	old	旧	1300	common-override
hk	old	老	1450	common-override
hk	old	舊	1300	common-override
jp	money	金	1450	common-override
jp	money	お金	1300	common-override
zh	money	钱	1450	common-override
hk	money	錢	1450	common-override
jp	home	家	1450	common-override
zh	home	家	1450	common-override
hk	home	家	1450	common-override
jp	house	家	1450	common-override
zh	house	房子	1450	common-override
hk	house	房子	1450	common-override
jp	work	仕事	1450	common-override
zh	work	工作	1450	common-override
hk	work	工作	1450	common-override
jp	school	学校	1450	common-override
zh	school	学校	1450	common-override
hk	school	學校	1450	common-override
jp	day	日	1450	common-override
zh	day	日	1450	common-override
hk	day	日	1450	common-override
jp	night	夜	1450	common-override
zh	night	夜	1450	common-override
hk	night	夜	1450	common-override
jp	time	時間	1450	common-override
zh	time	时间	1450	common-override
hk	time	時間	1450	common-override
jp	year	年	1450	common-override
zh	year	年	1450	common-override
hk	year	年	1450	common-override
jp	month	月	1450	common-override
zh	month	月	1450	common-override
hk	month	月	1450	common-override
jp	food	食物	1450	common-override
zh	food	食物	1450	common-override
hk	food	食物	1450	common-override
jp	peace	平和	1450	common-override
zh	peace	和平	1450	common-override
hk	peace	和平	1450	common-override
