11區	(11 qū)
4S店	(sì s diàn)
502膠	(wǔ líng èr jiāo)
95後	(jiǔ wǔ hòu)
AA制	(aa zhì)
AB制	(a b zhì)
A菜	(a cài)
A貨	(a huò)
A咖	(a kā)
A片	(a piàn)
A圈兒	(a quān r)
BP機	(bp jī)
B超	(b chāo)
B格	(bī gé)
B型超聲	(b xíng chāo shēng)
B站	(b zhàn)
CP值	(cp zhí)
C羅	(c luó)
C盤	(c pán)
C位	(c wèi)
DNA鑒定	(d n a jiàn dìng)
e人	(e rén)
E仔	(e zǎi)
G點	(g diǎn)
G弦褲	(g xián kù)
H橋	(h qiáo)
IP劇	(i p jù)
i人	(i rén)
JK制服	(j k zhì fú)
K房	(k fáng)
K粉	(k fěn)
K歌	(k gē)
K人	(k rén)
K書	(k shū)
K他命	(k tā mìng)
K線	(k xiàn)
K線圖	(k xiàn tú)
K仔	(k zǎi)
L照	(l zhào)
M巾	(m jīn)
NG鏡頭	(n g jìng tóu)
NG片段	(n g piàn duàn)
N擋	(n dǎng)
N久	(n jiǔ)
OK繃	(ok bēng)
OK鏡	(o k jìng)
O型腿	(o xíng tuǐ)
PA部	(p a bù)
PO文	(pō wén)
P擋	(p dǎng)
P民	(p mín)
P圖	(p tú)
QR扣	(q r kòu)
Q彈	(q tán)
Q勁	(q jìn)
TF卡	(t f kǎ)
Tony老師	(t o n y lǎo shī)
T台	(t tái)
T型台	(t xíng tái)
T裇	(t xù)
T恤	(t xù)
T字褲	(t zì kù)
T字帳	(t zì zhàng)
UP主	(u p zhǔ)
USB手指	(u s b shǒu zhǐ)
U盾	(u dùn)
U盤	(u pán)
U凸內褲	(u tū nèi kù)
U形轉彎	(u xíng zhuǎn wān)
U型池	(u xíng chí)
U型枕	(u xíng zhěn)
V溝	(v gōu)
word姐	(w o r d jiě)
X光	(x guāng)
Z世代	(z shì dài)
吖丁啶	(ā dīng dìng)
吖啶	(ā dìng)
吖嗪	(ā qín)
嗄	(shà)
啊	(à)
啊呀	(ā yā)
啊喲	(ā yo)
哎	(āi)
哎呀	(āi yā)
哎唷	(āi yō)
哎喲	(āi yō)
哎呦	(āi yōu)
哀	(āi)
哀兵必勝	(āi bīng bì shèng)
哀愁	(āi chóu)
哀詞	(āi cí)
哀辭	(āi cí)
哀悼	(āi dào)
哀的美敦書	(āi dì měi dūn shū)
哀而不傷	(āi ér bù shāng)
哀告	(āi gào)
哀告賓服	(āi gào bīn fú)
哀歌	(āi gē)
哀嚎	(āi háo)
哀號	(āi háo)
哀鴻遍野	(āi hóng biàn yě)
哀毀骨立	(āi huǐ gǔ lì)
哀家	(āi jiā)
哀江南賦	(āi jiāng nán fù)
哀矜	(āi jīn)
哀哭	(āi kū)
哀憐	(āi lián)
哀憫	(āi mǐn)
哀鳴	(āi míng)
哀莫大於心死	(āi mò dà yú xīn sǐ)
哀平	(āi píng)
哀戚	(āi qī)
哀啟	(āi qǐ)
哀泣	(āi qì)
哀求	(āi qiú)
哀勸	(āi quàn)
哀榮	(āi róng)
哀傷	(āi shāng)
哀失	(āi shī)
哀思	(āi sī)
哀嘆	(āi tàn)
哀痛	(āi tòng)
哀慟	(āi tòng)
哀婉	(āi wǎn)
哀艷	(āi yàn)
哀豔	(āi yàn)
哀怨	(āi yuàn)
哀樂	(āi yuè)
哀子	(āi zǐ)
埃	(āi)
埃奧羅斯	(āi ào luó sī)
埃博拉	(āi bó lā)
埃博拉病毒	(āi bó lā bìng dú)
埃布羅	(āi bù luó)
埃布羅河	(āi bù luó hé)
埃德加	(āi dé jiā)
埃德加·愛倫·坡	(āi dé jiā · ài lún · pō)
埃德蒙	(āi dé méng)
埃德蒙·伯克	(āi dé méng · bó kè)
埃德蒙頓	(āi dé méng dùn)
埃迪卡拉	(āi dí kǎ lā)
埃迪卡拉紀	(āi dí kǎ lā jì)
埃爾福特	(āi ěr fú tè)
埃爾朗根	(āi ěr lǎng gēn)
埃爾朗根綱領	(āi ěr lǎng gēn gāng lǐng)
埃爾南德斯	(āi ěr nán dé sī)
埃爾帕索	(āi ěr pà suǒ)
埃爾維斯·普雷斯利	(āi ěr wéi sī · pǔ léi sī lì)
埃菲爾鐵塔	(āi fēi ěr tiě tǎ)
埃夫伯里	(āi fū bó lǐ)
埃弗頓	(āi fú dùn)
埃格爾松	(āi gé ěr sōng)
埃及	(āi jí)
埃及豆	(āi jí dòu)
埃及古物學	(āi jí gǔ wù xué)
埃及學	(āi jí xué)
埃及夜鷹	(āi jí yè yīng)
埃加迪群島	(āi jiā dí qún dǎo)
埃克托	(āi kè tuō)
埃克托·柏遼茲	(āi kè tuō · bó liáo zī)
埃拉特	(āi lā tè)
埃拉托斯特尼	(āi lā tuō sī tè ní)
埃蕾	(āi lěi)
埃里溫	(āi lǐ wēn)
埃利斯島	(āi lì sī dǎo)
埃琳娜	(āi lín nà)
埃隆·馬斯克	(āi lóng · mǎ sī kè)
埃曼塔	(āi màn tǎ)
埃米	(āi mǐ)
埃米爾	(āi mǐ ěr)
埃涅阿斯	(āi niè ā sī)
埃涅阿斯紀	(āi niè ā sī jì)
埃塞	(āi sài)
埃塞俄比亞	(āi sài é bǐ yà)
埃塞俄比亞界	(āi sài é bǐ yà jiè)
埃森	(āi sēn)
埃森納赫	(āi sēn nà hè)
埃森哲	(āi sēn zhé)
埃斯庫多	(āi sī kù duō)
埃斯庫羅斯	(āi sī kù luó sī)
埃斯特哈齊	(āi sī tè hā qí)
埃斯特朗	(āi sī tè lǎng)
埃塔	(āi tǎ)
埃特納火山	(āi tè nà huǒ shān)
埃文	(āi wén)
埃文河畔斯特拉特福	(āi wén hé pàn sī tè lā tè fú)
埃文斯	(āi wén sī)
埃敘	(āi xù)
埃因霍溫	(āi yīn huò wēn)
挨	(ái)
挨板子	(ái bǎn zi)
挨邊	(āi biān)
挨邊兒	(āi biān r)
挨不上	(āi bù shàng)
挨擦	(āi cā)
挨呲兒	(ái cī r)
挨次	(āi cì)
挨打	(ái dǎ)
挨打受罵	(ái dǎ shòu mà)
挨打受氣	(ái dǎ shòu qì)
挨鬥	(ái dòu)
挨餓	(ái è)
挨餓受凍	(ái è shòu dòng)
挨罰	(ái fá)
挨個	(āi gè)
挨個兒	(āi gè r)
挨戶	(āi hù)
挨飢抵餓	(ái jī dǐ è)
挨擠	(ái jǐ)
挨家	(āi jiā)
挨家挨戶	(āi jiā āi hù)
挨肩擦背	(āi jiān cā bèi)
挨肩兒	(āi jiān r)
挨近	(āi jìn)
挨剋	(ái kēi)
挨罵	(ái mà)
挨門	(āi mén)
挨批	(ái pī)
挨時間	(ái shí jiān)
挨說	(ái shuō)
挨踢	(āi tī)
挨頭子	(ái tóu zi)
挨延	(ái yán)
挨宰	(ái zǎi)
挨整	(ái zhěng)
挨著	(āi zhe)
挨揍	(ái zòu)
唉	(āi)
唉唉	(āi āi)
唉姐	(āi jiě)
唉聲嘆氣	(āi shēng tàn qì)
欸	(èi)
欸乃	(ǎi nǎi)
捱	(ái)
嘊	(ái)
敱	(ái)
毐	(ǎi)
㤅	(ài)
嗌	(ài)
愛	(ài)
愛愛	(ài ai)
愛奧華	(ài ào huá)
愛奧尼亞海	(ài ào ní yà hǎi)
愛彼迎	(ài bǐ yíng)
愛別離苦	(ài bié lí kǔ)
愛不忍釋	(ài bù rěn shì)
愛不釋手	(ài bù shì shǒu)
愛才	(ài cái)
愛才若渴	(ài cái ruò kě)
愛財	(ài cái)
愛財如命	(ài cái rú mìng)
愛巢	(ài cháo)
愛稱	(ài chēng)
愛詞霸	(ài cí bà)
愛達荷	(ài dá hé)
愛戴	(ài dài)
愛得死去活來	(ài de sǐ qù huó lái)
愛德	(ài dé)
愛德華	(ài dé huá)
愛德華·達拉第	(ài dé huá · dá lā dì)
愛德華島	(ài dé huá dǎo)
愛德華王子島	(ài dé huá wáng zǐ dǎo)
愛德華茲	(ài dé huá zī)
愛德玲	(ài dé líng)
愛德蒙	(ài dé méng)
愛德斯沃爾	(ài dé sī wò ěr)
愛迪生	(ài dí shēng)
愛丁堡	(ài dīng bǎo)
愛豆	(ài dòu)
愛耳日	(ài ěr rì)
愛爾蘭	(ài ěr lán)
愛爾蘭共和國	(ài ěr lán gòng hé guó)
愛爾蘭共和軍	(ài ěr lán gòng hé jūn)
愛爾蘭海	(ài ěr lán hǎi)
愛爾蘭人	(ài ěr lán rén)
愛爾蘭語	(ài ěr lán yǔ)
愛瘋	(ài fēng)
愛撫	(ài fǔ)
愛崗敬業	(ài gǎng jìng yè)
愛港	(ài gǎng)
愛國	(ài guó)
愛國如家	(ài guó rú jiā)
愛國衛生運動委員會	(ài guó wèi shēng yùn dòng wěi yuán huì)
愛國者	(ài guó zhě)
愛國主義	(ài guó zhǔ yì)
愛好	(ài hào)
愛好者	(ài hào zhě)
