〆切	(しめきり)
〆切る	(しめきる)
※印	(こめじるし)
０時	(れいじ)
１００倍	(ひゃくばい)
１００歩譲る	(ひゃっぽゆずる)
１００万	(ひゃくまん)
１０代	(じゅうだい)
１０分	(じっぷん,じゅっぷん)
１０分の１	(じゅうぶんのいち)
１０進	(じっしん,じゅっしん)
１０進法	(じっしんほう,じゅっしんほう)
１０日	(とおか)
１０月	(じゅうがつ)
１１月	(じゅういちがつ)
１２時	(じゅうにじ)
１２月	(じゅうにがつ)
１つ目	(ひとつめ)
１つ星	(ひとつぼし)
１杯	(いっぱい)
１本	(いっぽん)
１歩	(いっぽ)
１歩１歩	(いっぽいっぽ)
１部	(いちぶ)
１才	(いっさい)
１曹	(いっそう)
１冊	(いっさつ)
１次	(いちじ)
１次元	(いちじげん)
１打	(いちだ)
１党	(いっとう)
１等	(いっとう)
１等兵	(いっとうへい)
１等車	(いっとうしゃ)
１等国	(いっとうこく)
１等軍曹	(いっとうぐんそう)
１等親	(いっとうしん)
１等賞	(いっとうしょう)
１等星	(いっとうせい)
１等卒	(いっとうそつ)
１点	(いってん)
１錠	(いちじょう)
１度	(いちど,ひとたび)
１度に	(いちどに)
１対１	(いちたいいち,いったいいち)
１発	(いっぱつ)
１番	(いちばん)
１番手	(いちばんて)
１分	(いちぶ)
１服	(いっぷく)
１割	(いちわり)
１個	(いっこ)
１号	(いちごう)
１回	(いっかい)
１撃	(いちげき)
１階	(いっかい)
１局	(いっきょく)
１軍	(いちぐん)
１口	(ひとくち)
１塁	(いちるい)
１粒	(ひとつぶ,いちりゅう)
１列	(いちれつ)
１輪	(いちりん)
１面	(いちめん)
１秒	(いちびょう)
１年	(いちねん,ひととし,ひととせ)
１年間	(いちねんかん)
１年生	(いちねんせい)
１年中	(いちねんじゅう,いちねんぢゅう)
１匹	(いっぴき)
１票	(いっぴょう)
１品料理	(いっぴんりょうり)
１泊	(いっぱく)
１切れ	(ひときれ)
１人	(ひとり,いちにん)
１人あたり	(ひとりあたり)
１人で	(ひとりで)
１人残らず	(ひとりのこらず)
１人称	(いちにんしょう)
１人当たり	(ひとりあたり)
１人娘	(ひとりむすめ)
１人息子	(ひとりむすこ)
１日	(いちにち,いちじつ)
１日じゅう	(いちにちじゅう,いちにちぢゅう)
１日中	(いちにちじゅう,いちにちぢゅう)
１時	(いちじ)
１時間	(いちじかん)
１士	(いっし)
１世紀	(いっせいき)
１式	(いっしき)
１歳	(いっさい)
１台	(いちだい)
１体	(いったい)
１頭	(いっとう)
１位	(いちい)
１尉	(いちい)
１行	(いちぎょう)
１軒	(いっけん)
１語	(いちご)
１円玉	(いちえんだま)
１月	(いちがつ)
１着	(いっちゃく)
１周年	(いっしゅうねん)
１週	(いっしゅう)
１週間	(いっしゅうかん)
１足	(いっそく)
１組	(ひとくみ,いちくみ)
１佐	(いっさ)
２０才	(はたち,にじゅっさい,にじっさい)
２０世紀	(にじっせいき,にじゅっせいき)
２０歳	(はたち,にじゅっさい,にじっさい)
２倍	(にばい)
２部	(にぶ)
２曹	(にそう)
２乗	(にじょう,じじょう)
２次	(にじ)
２次方程式	(にじほうていしき)
２次会	(にじかい)
２次元	(にじげん)
２等	(にとう)
２等兵	(にとうへい)
２等辺３角形	(にとうへんさんかっけい,にとうへんさんかくけい)
２等分	(にとうぶん)
２等分線	(にとうぶんせん)
２等軍曹	(にとうぐんそう)
２等親	(にとうしん)
２等賞	(にとうしょう)
２度	(にど)
２度３度	(にどさんど)
２番	(にばん)
２番目	(にばんめ)
２方	(ふたかた)
２国間	(にこくかん)
２桁	(ふたけた)
２回	(にかい)
２階	(にかい)
２階建	(にかいだて)
２階建て	(にかいだて)
２進法	(にしんほう)
２塁	(にるい)
２人	(ふたり,ににん)
２人とも	(ふたりとも)
２人称	(ににんしょう)
２人分	(ふたりぶん)
２人共	(ふたりとも)
２人組	(ふたりぐみ,ににんぐみ)
２日	(ふつか)
２士	(にし)
２世	(にせい)
２通	(につう)
２位	(にい)
２尉	(にい)
２項式	(にこうしき)
２月	(にがつ)
２重	(にじゅう,ふたえ)
２週間	(にしゅうかん)
２足	(にそく)
２佐	(にさ)
３百	(さんびゃく)
３倍	(さんばい)
３本	(さんぼん)
３曹	(さんそう)
３次元	(さんじげん)
３等	(さんとう)
３等分	(さんとうぶん)
３等軍曹	(さんとうぐんそう)
３回	(さんかい)
３角形	(さんかくけい,さんかっけい)
３階	(さんがい,さんかい)
３塁	(さんるい)
３枚	(さんまい)
３千	(さんぜん)
３球３振	(さんきゅうさんしん)
３球三振	(さんきゅうさんしん)
３人	(さんにん,みたり)
３人称	(さんにんしょう)
３人殺し	(さんにんごろし,さんにんころし)
３人組	(さんにんぐみ)
３日	(みっか)
３時	(さんじ)
３士	(さんし)
３尉	(さんい)
３月	(さんがつ)
３組	(さんくみ,みくみ)
３佐	(さんさ)
４つ足	(よつあし)
４次元	(よじげん,しじげん)
４角形	(しかくけい,しかっけい)
４輪駆動車	(よんりんくどうしゃ)
４日	(よっか)
４時	(よじ)
４月	(しがつ)
４字熟語	(よじじゅくご)
５０音順	(ごじゅうおんじゅん)
５倍	(ごばい)
５分５分	(ごぶごぶ)
５角形	(ごかくけい,ごかっけい)
５日	(いつか,ごにち)
５色	(ごしき,ごしょく)
５月	(ごがつ)
６角形	(ろっかっけい,ろっかくけい)
６日	(むいか,むゆか,むよか)
６月	(ろくがつ)
７角形	(しちかっけい,しちかくけい,ななかっけい)
７日	(なのか,なぬか)
７月	(しちがつ,なながつ)
８の字	(はちのじ)
８角形	(はっかくけい,はっかっけい)
８日	(ようか)
８月	(はちがつ)
９日	(ここのか,ここぬか)
９月	(くがつ)
ＡＢＣ順	(エービーシーじゅん)
Ｎ響	(エヌきょう)
ＱＱ車	(きゅうきゅうしゃ)
Ｘ線	(エックスせん)
Ｙ目	(よこめ)
α線	(アルファせん)
π中間子	(パイちゅうかんし)
あ・うんの呼吸	(あうんのこきゅう)
アーク灯	(アークとう)
アーク燈	(アークとう)
あいあい傘	(あいあいがさ)
あいさつ回り	(あいさつまわり)
あいづちを打つ	(あいづちをうつ)
アイヌ族	(アイヌぞく)
あいの子	(あいのこ)
あい変らず	(あいかわらず)
あい変わらず	(あいかわらず)
あい路	(あいろ)
あい昧	(あいまい)
あい色	(あいいろ,らんしょく)
アウトライト取引	(アウトライトとりひき)
あうんの呼吸	(あうんのこきゅう)
あおぎ見る	(あおぎみる)
あおぞら市場	(あおぞらいちば)
あお向け	(あおむけ)
あかね色	(あかねいろ)
あがり目	(あがりめ)
あがり湯	(あがりゆ)
アカ狩り	(あかがり)
アキレス腱	(アキレスけん)
あきれ返る	(あきれかえる)
あき地	(あきち)
あき缶	(あきかん)
あき性	(あきしょう)
アクリル酸	(アクリルさん)
あくる日	(あくるひ)
あく促	(あくせく,あくさく)
あく洗い	(あくあらい)
あげくの果て	(あげくのはて)
あけ渡す	(あけわたす)
あげ物	(あげもの)
あげ足をとる	(あげあしをとる)
あげ足を取る	(あげあしをとる)
あご骨	(がっこつ,がくこつ,あごぼね)
あさ飯	(あさめし,あさはん)
あざ笑う	(あざわらう)
アジア太平洋地域	(アジアたいへいようちいき)
あし毛	(あしげ)
アズマ男	(あずまおとこ)
あずま屋	(あずまや)
あぜ道	(あぜみち)
あそばせ言葉	(あそばせことば)
あそび人	(あそびにん)
あそび相手	(あそびあいて)
あそび心	(あそびごころ,あそびゴコロ)
あたかも好し	(あたかもよし)
あたり前	(あたりまえ,あたりめー,あたりめえ)
あたり散らす	(あたりちらす)
あだ花	(あだばな)
あだ名	(あだな,こんめい)
あだ討ち	(あだうち)
あっせん料	(あっせんりょう)
あったま来る	(あたまにくる,あったまくる)
アッという間に	(あっというまに)
あっという間に	(あっというまに)
アッと言う間に	(あっというまに)
あっと言う間に	(あっというまに)
あっ気	(あっけ)
あっ晴れ	(あっぱれ)
あっ砕	(あっさい)
あっ旋	(あっせん)
あて名	(あてな)
あて先	(あてさき)
あて字	(あてじ)
アドオン電話	(アドオンでんわ)
アドレス帳	(アドレスちょう)
あと払い	(あとばらい,ごばらい)
あと味	(あとあじ)
あと押し	(あとおし)
あと追い	(あとおい)
あなた方	(あなたがた)
アナログデジタル変換器	(アナログデジタルへんかんき)
アナログ計算機	(アナログけいさんき)
あの方	(あのかた)
あの人	(あのひと)
アパート荒らし	(アパートあらし)
アバタ面	(あばたづら)
あばた面	(あばたづら)
あばら骨	(あばらぼね,ろっこつ)
あばれ回る	(あばれまわる)
あぶな絵	(あぶなえ)
アブラを売る	(あぶらをうる)
あぶらを売る	(あぶらをうる)
あぶら虫	(あぶらむし,アブラムシ)
あぶら汗	(あぶらあせ)
あぶら身	(あぶらみ)
あぶら性	(あぶらしょう)
アフリカの角	(アフリカのつの)
あぶり出し	(あぶりだし)
あぶり出す	(あぶりだす)
あふれ出る	(あふれでる)
あべかわ餅	(あべかわもち)
アヘン窟	(あへんくつ)
あほう鳥	(アホウドリ,あほうどり)
あまに油	(あまにゆ)
あまり物	(あまりもの)
あま味	(あまみ)
アミノ酸	(アミノさん)
あみ出す	(あみだす)
アメーバ運動	(アメーバうんどう)
アメリカ豹	(アメリカひょう)
アメリカ合衆国	(アメリカがっしゅうこく)
アメリカ人	(アメリカじん)
アメリカ杉	(アメリカすぎ,アメリカスギ)
あめ玉	(あめだま)
あや糸	(あやいと)
あや取り	(あやとり)
あや織り	(あやおり)
アラビア数字	(アラビアすうじ)
あらん限り	(あらんかぎり)
あら筋	(あらすじ)
あら捜し	(あらさがし)
アラ探し	(あらさがし)
あら探し	(あらさがし)
ありがとう御座います	(ありがとうございます)
あり触れた	(ありふれた)
あり得ないほど	(ありえないほど)
あり得ない程	(ありえないほど)
あり得べき	(ありうべき)
あり得る	(ありうる)
アリ地獄	(ありじごく,アリジゴク)
あり地獄	(ありじごく,アリジゴク)
あり方	(ありかた)
あり付く	(ありつく)
あり様	(ありさま,ありよう)
あり余る	(ありあまる)
アリ塚	(ありづか)
あり塚	(ありづか)
アルカリ性	(アルカリせい)
アルギン酸	(アルギンさん)
アルコール依存症	(アルコールいぞんしょう,アルコールいそんしょう)
アルツハイマー病	(アルツハイマーびょう)
アルファ線	(アルファせん)
ある日	(あるひ)
ある時	(あるとき)
アル中	(アルちゅう)
あわせ鏡	(あわせかがみ)
あわて者	(あわてもの)
あわ立つ	(あわだつ)
あわ粒	(あわつぶ,ぞくりゅう)
あん分	(あんぶん)
あん摩	(あんま)
いい返す	(いいかえす)
いい含める	(いいふくめる)
いい加減	(いいかげん)
いい加減にしなさい	(いいかげんにしなさい)
いい年をして	(いいとしをして)
いい切る	(いいきる)
いい歳をして	(いいとしをして)
いえ中	(うちじゅう,いえじゅう,かちゅう)
イオン化	(イオンか)
いかさま師	(いかさまし)
いかなる場合でも	(いかなるばあいでも)
いか物	(いかもの)
いか様	(いかさま,イカサマ)
いき値	(いきち,しきいち)
いく日	(いくにち,いくか)
いさぎ良い	(いさぎよい)
イジメっ子	(いじめっこ)
いじめっ子	(いじめっこ)
いじり回す	(いじりまわす)
イスラーム原理主義	(イスラムげんりしゅぎ,イスラームげんりしゅぎ)
イスラム教徒	(イスラムきょうと)
イスラム原理主義	(イスラムげんりしゅぎ,イスラームげんりしゅぎ)
いずれの場合においても	(いずれのばあいにおいても)
いずれ又	(いずれまた)
いたずらっ子	(いたずらっこ)
いたずら坊主	(いたずらぼうず)
いたずら盛り	(いたずらざかり)
いたずら書き	(いたずらがき)
イタズラ小僧	(いたずらこぞう)
いたずら小僧	(いたずらこぞう)
いたずら者	(いたずらもの)
いただき物	(いただきもの)
いため物	(いためもの)
イチ早く	(いちはやく)
いち早く	(いちはやく)
いったい全体	(いったいぜんたい)
いっとき逃れ	(いちじのがれ,いっときのがれ)
いつの間にか	(いつのまにか)
いつの間にやら	(いつのまにやら)
いっぱい機嫌	(いっぱいきげん)
いっぷう変わった	(いっぷうかわった)
いつもの通りに	(いつものとおりに)
いつ何どき	(いつなんどき)
いつ何時	(いつなんどき)
いつ流	(いつりゅう)
いつ迄も	(いつまでも)
いつ頃	(いつごろ)
いで立つ	(いでたつ)
いで湯	(いでゆ)
いて座	(いてざ)
いとし子	(いとしご,まなご)
いとも簡単に	(いともかんたんに)
いなか者	(いなかもの,いなかもん)
いなり寿司	(いなりずし)
イヌ年	(いぬどし,イヌどし)
いぬ年	(いぬどし,イヌどし)
イノシン酸	(イノシンさん)
いまの所	(いまのところ)
いま思うと	(いまおもうと)
いま一度	(いまいちど)
いもち病	(いもちびょう,とうねつびょう)
いもづる式	(いもづるしき)
イモ虫	(いもむし,イモムシ)
いも虫	(いもむし,イモムシ)
いも掘り	(いもほり)
イヤしん坊	(いやしんぼう)
いやしん坊	(いやしんぼう)
いやでも応でも	(いやでもおうでも)
イヤと言うほど	(いやというほど,イヤというほど)
いや気がさす	(いやけがさす)
いや味	(いやみ)
いや応	(いやおう)
いや応なし	(いやおうなし)
いや応なしに	(いやおうなしに)
いら立つ	(いらだつ)
いり卵	(いりたまご)
いれ込む	(いれこむ)
いわし雲	(いわしぐも)
いんぎん無礼	(いんぎんぶれい)
インゲン豆	(いんげんまめ,インゲンマメ)
いんげん豆	(いんげんまめ,インゲンマメ)
インスタント食品	(インスタントしょくひん)
インディア紙	(インディアかみ)
インディペンデントリビング運動	(インディペンデントリビングうんどう)
インド教	(インドきょう)
インド人	(インドじん)
インフラ開発	(インフラかいはつ)
いん石	(いんせき)
イ長調	(イちょうちょう)
イ短調	(イたんちょう)
ウィジャ板	(ウィジャばん)
ウィジャ盤	(ウィジャばん)
ウイジャ盤	(ウィジャばん)
ウイック回転	(ウイックかいてん)
ウーロン茶	(ウーロンちゃ,ウーロンチャ)
うお座	(うおざ)
うかがい知る	(うかがいしる)
うかぬ顔	(うかぬかお)
うかれ歩く	(うかれあるく)
うき目	(うきめ)
うき世	(うきよ,ふせい)
ウグイス色	(うぐいすいろ)
うぐいす色	(うぐいすいろ)
うけ取る	(うけとる)
ウサギ年	(うさぎどし,うどし)
うさぎ年	(うさぎどし,うどし)
うさを晴らしに	(うさをはらしに)
うさん臭い	(うさんくさい)
ウサ晴らし	(うさばらし)
うさ晴らし	(うさばらし)
うしろ姿	(うしろすがた)
うしろ足	(うしろあし)
うし年	(うしどし)
うす暗い	(うすぐらい)
うず巻く	(うずまく)
うす馬鹿	(うすばか,うすバカ,ウスバカ)
うせ物	(うせもの)
うそで固める	(うそでかためる)
ウソを付く	(うそをつく,ウソをつく)
ウソ八百	(うそはっぴゃく)
うそ八百	(うそはっぴゃく)
ウソ付き	(うそつき,ウソつき)
うそ字	(うそじ)
うた沢	(うたざわ)
うちわ喧嘩	(うちわげんか)
うち返す	(うちかえす)
うち解けにくい	(うちとけにくい)
うち解ける	(うちとける)
うち鳴らす	(うちならす)
うち殺す	(うちころす)
うち砕く	(うちくだく,ぶちくだく)
うち湯	(うちゆ)
うち下ろす	(うちおろす)
うち込む	(うちこむ)
うち中	(うちじゅう,いえじゅう,かちゅう)
ウツ病	(うつびょう)
うつ病	(うつびょう)
うっ憤	(うっぷん)
うつ伏す	(うつぶす)
うつ伏せ	(うつぶせ)
うっ積	(うっせき)
うつ向き	(うつむき)
うつ向く	(うつむく)
うっ血	(うっけつ)
うっ滞	(うったい)
うで時計	(うでどけい)
うで試し	(うでだめし)
うなぎ登り	(うなぎのぼり)
うなぎ丼	(うなどん,うなぎどんぶり,うなぎどん)
うなぎ上り	(うなぎのぼり)
うな丼	(うなどん,うなぎどんぶり,うなぎどん)
うね立て	(うねたて,うねだて)
うの花	(うのはな,ウノハナ)
うの毛	(うのけ)
うば車	(うばぐるま)
うば桜	(うばざくら)
うぶ毛	(うぶげ)
うまい汁	(うまいしる)
うまく行く	(うまくいく)
うまれ変わり	(うまれかわり)
うま年	(うまどし)
うま味	(うまみ)
うめ込む	(うめこむ)
ウラ側	(うらがわ)
うら側	(うらがわ)
ウラ話	(うらばなし,ウラばなし)
ウラ技	(うらわざ)
