11区	(11 qū)
4S店	(sì s diàn)
502胶	(wǔ líng èr jiāo)
95后	(jiǔ wǔ hòu)
AA制	(aa zhì)
AB制	(a b zhì)
A菜	(a cài)
A货	(a huò)
A咖	(a kā)
A片	(a piàn)
A圈儿	(a quān r)
BP机	(bp jī)
B超	(b chāo)
B格	(bī gé)
B型超声	(b xíng chāo shēng)
B站	(b zhàn)
CP值	(cp zhí)
C罗	(c luó)
C盘	(c pán)
C位	(c wèi)
DNA鉴定	(d n a jiàn dìng)
e人	(e rén)
E仔	(e zǎi)
G点	(g diǎn)
G弦裤	(g xián kù)
H桥	(h qiáo)
IP剧	(i p jù)
i人	(i rén)
JK制服	(j k zhì fú)
K房	(k fáng)
K粉	(k fěn)
K歌	(k gē)
K人	(k rén)
K书	(k shū)
K他命	(k tā mìng)
K线	(k xiàn)
K线图	(k xiàn tú)
K仔	(k zǎi)
L照	(l zhào)
M巾	(m jīn)
NG镜头	(n g jìng tóu)
NG片段	(n g piàn duàn)
N挡	(n dǎng)
N久	(n jiǔ)
OK绷	(ok bēng)
OK镜	(o k jìng)
O型腿	(o xíng tuǐ)
PA部	(p a bù)
PO文	(pō wén)
P挡	(p dǎng)
P民	(p mín)
P图	(p tú)
QR扣	(q r kòu)
Q弹	(q tán)
Q劲	(q jìn)
TF卡	(t f kǎ)
Tony老师	(t o n y lǎo shī)
T台	(t tái)
T型台	(t xíng tái)
T裇	(t xù)
T恤	(t xù)
T字裤	(t zì kù)
T字帐	(t zì zhàng)
UP主	(u p zhǔ)
USB手指	(u s b shǒu zhǐ)
U盾	(u dùn)
U盘	(u pán)
U凸内裤	(u tū nèi kù)
U形转弯	(u xíng zhuǎn wān)
U型池	(u xíng chí)
U型枕	(u xíng zhěn)
V沟	(v gōu)
word姐	(w o r d jiě)
X光	(x guāng)
Z世代	(z shì dài)
吖丁啶	(ā dīng dìng)
吖啶	(ā dìng)
吖嗪	(ā qín)
嗄	(shà)
啊	(à)
啊呀	(ā yā)
啊哟	(ā yo)
哎	(āi)
哎呀	(āi yā)
哎哟	(āi yō)
哎唷	(āi yō)
哎呦	(āi yōu)
哀	(āi)
哀兵必胜	(āi bīng bì shèng)
哀愁	(āi chóu)
哀词	(āi cí)
哀辞	(āi cí)
哀悼	(āi dào)
哀的美敦书	(āi dì měi dūn shū)
哀而不伤	(āi ér bù shāng)
哀告	(āi gào)
